Date,Campaign,Campaign_id,Ad_group,channels,Business_Contact,Region,Spend,Sales,Visits,Clicks,Impressions
2024-07-19,Weight Management,15543636,Vc_Weight_Goals_Tracker,Social,B2B,West,34194.65,110073.9073,1602,1656,63.0
2024-08-02,Social Wellness,15543612,Vc_Stronger_Together,TV,B2C,East,53564.3462,22905.8223,117,123,4.3
2024-05-21,Social Wellness,15543612,Audio_Social_Harmony_Talks,Radio,B2C,South,65021.9507,31476.7161,487,518,22.4
2024-03-22,Physical Wellness,15543678,Audio_Power_Up_Your_Health,Radio,B2C,East,28960.5491,35268.8003,467,480,20.8
2024-08-11,Weight Management,15543636,Vc_Smart_Weight_Loss,TV,B2B,South,47682.3292,33278.5954,113,118,5.9
2024-09-22,Social Wellness,15543612,Vc_Stronger_Together,TV,B2C,North,73434.5389,16762.0044,120,128,5.0
2024-05-09,Physical Wellness,15543678,Vc_Move_More_Live_More,Social,B2C,West,42282.55,37959.3218,1646,1715,78.0
2024-04-19,Physical Wellness,15543678,Vc_Get_Fit_Stay_Strong,TV,B2C,West,94083.2343,79386.5442,133,145,5.2
2024-01-29,Mental Wellness,15543645,Vc_Calm_Mind_Happy_Life,Social,B2C,East,3167.5454,68630.4405,1496,1500,82.5
2024-02-09,Physical Wellness,15543678,Audio_Power_Up_Your_Health,Radio,B2C,South,26096.7031,72714.2039,436,447,22.8
2024-03-10,Weight Management,15543636,Vc_Weight_Goals_Tracker,Social,B2B,East,13425.7846,17448.9649,1579,1600,60.0
2024-01-01,Weight Management,15543636,Vc_Smart_Weight_Loss,TV,B2B,West,54174.9382,78147.3118,118,124,5.3
2024-12-14,Social Wellness,15543612,Img_Building_Connections_Hub,Digital,B2C,South,17819.6134,39094.9558,2050,2086,120.0
2024-12-05,Spiritual Wellness,15543672,Vc_Inner_Peace_Journey,TV,B2B,West,74209.8586,112702.1795,114,122,4.6
2024-02-08,Mental Wellness,15543645,Img_Stress-Free_Living_Course,Digital,B2C,South,91843.1669,52976.68,2645,2887,96.0
2024-03-05,Weight Management,15543636,Audio_Balanced_Lifestyle,Radio,B2B,East,20799.2456,107815.4084,419,427,14.8
2024-01-05,Social Wellness,15543612,Img_Community_Well-Being_Guide,Print,B2C,North,90685.6345,89415.8723,380,414,15.0
2024-04-04,Social Wellness,15543612,Audio_Social_Harmony_Talks,Radio,B2C,North,63212.3472,56531.4427,495,526,26.4
2024-11-04,Mental Wellness,15543645,Audio_Peaceful_Mindset,Radio,B2C,South,19697.4476,55320.8194,413,421,20.4
2024-06-21,Mental Wellness,15543645,Audio_Peaceful_Mindset,Radio,B2C,South,73680.8933,24190.2651,479,514,17.6
2024-11-27,Social Wellness,15543612,Vc_Friendship_Matters,Social,B2C,North,9178.2802,71168.4925,1612,1626,78.0
2024-08-19,Spiritual Wellness,15543672,Audio_Soulful_Reflections,Radio,B2B,East,69245.6077,129655.8396,455,486,20.8
2024-12-12,Environmental Wellness,15543690,Img_Green_Lifestyle_Magazine,Print,B2C,East,86140.006,73744.4807,389,422,17.1
2024-05-01,Social Wellness,15543612,Vc_Stronger_Together,TV,B2C,West,95042.5644,146394.0938,127,139,3.2
2024-01-28,Mental Wellness,15543645,Img_Stress-Free_Living_Course,Digital,B2C,West,5547.6586,15550.9044,2100,2111,98.0
2024-01-11,Physical Wellness,15543678,Audio_Power_Up_Your_Health,Radio,B2C,North,6287.3653,65810.4288,410,412,17.2
2024-10-04,Physical Wellness,15543678,Img_Boost_Your_Body_Challenge,Digital,B2C,North,93047.4483,99377.7469,2722,2975,104.0
2024-07-14,Mental Wellness,15543645,Audio_Peaceful_Mindset,Radio,B2C,North,78980.298,43578.2337,513,553,19.6
2024-08-18,Mental Wellness,15543645,Vc_Calm_Mind_Happy_Life,Social,B2C,South,77449.29,48860.6768,1872,2016,66.0
2024-11-30,Environmental Wellness,15543690,Img_Eco-Friendly_Living_Tips,Digital,B2C,West,74287.9108,129673.0117,2406,2584,74.0
2024-04-03,Weight Management,15543636,Audio_Balanced_Lifestyle,Radio,B2B,North,71761.2286,83203.4069,491,526,16.4
2024-03-10,Mental Wellness,15543645,Audio_Peaceful_Mindset,Radio,B2C,North,61360.9655,102158.7124,499,529,21.2
2024-08-19,Physical Wellness,15543678,Img_Healthy_Habits_Guide,Print,B2C,West,81292.7304,102145.6928,376,406,16.5
2024-05-16,Spiritual Wellness,15543672,Img_Spiritual_Awakening_Booklet,Print,B2B,North,3513.8228,62211.2458,286,287,12.3
2024-07-02,Mental Wellness,15543645,Img_Mental_Clarity_Journal,Print,B2C,North,74056.1806,6690.2203,383,411,14.4
2024-10-30,Environmental Wellness,15543690,Vc_Sustainable_Life_Hacks,Social,B2C,East,58333.4582,85641.2061,1721,1821,87.0
2024-07-31,Spiritual Wellness,15543672,Img_Find_Your_Purpose_Webinar,Digital,B2B,West,90755.1633,50237.8371,2633,2871,102.0
2024-02-06,Environmental Wellness,15543690,Vc_Sustainable_Life_Hacks,Social,B2C,East,93643.7467,68940.859,1927,2107,90.0
2024-05-02,Spiritual Wellness,15543672,Vc_Inner_Peace_Journey,TV,B2B,West,24208.9178,95468.4475,109,111,4.6
2024-08-19,Mental Wellness,15543645,Audio_Peaceful_Mindset,Radio,B2C,North,78967.0625,135123.1119,478,515,18.4
2024-11-21,Physical Wellness,15543678,Audio_Power_Up_Your_Health,Radio,B2C,South,95704.1729,102696.237,521,570,23.6
2024-04-22,Spiritual Wellness,15543672,Audio_Soulful_Reflections,Radio,B2B,South,26738.2867,26386.4993,422,433,18.4
2024-03-13,Social Wellness,15543612,Img_Community_Well-Being_Guide,Print,B2C,East,85123.3658,45387.4988,370,401,14.4
2024-02-13,Weight Management,15543636,Audio_Balanced_Lifestyle,Radio,B2B,South,58694.3128,17975.6948,470,497,21.6
2024-05-06,Environmental Wellness,15543690,Img_Green_Lifestyle_Magazine,Print,B2C,South,39560.0191,69606.7807,338,351,15.6
2024-08-03,Spiritual Wellness,15543672,Vc_Inner_Peace_Journey,TV,B2B,East,82378.5789,131304.137,131,141,4.9
2024-10-18,Environmental Wellness,15543690,Vc_Sustainable_Life_Hacks,Social,B2C,North,87042.8762,116413.7056,1904,2069,94.5
2024-10-08,Physical Wellness,15543678,Vc_Move_More_Live_More,Social,B2C,West,28336.416,62118.3306,1562,1606,79.5
2024-09-20,Environmental Wellness,15543690,Vc_Sustainable_Life_Hacks,Social,B2C,North,79466.8499,131553.1262,1961,2116,73.5
2024-11-10,Environmental Wellness,15543690,Img_Green_Lifestyle_Magazine,Print,B2C,East,5061.1821,91954.8567,308,309,15.0
2024-08-13,Social Wellness,15543612,Img_Building_Connections_Hub,Digital,B2C,North,41824.492,43735.7163,2138,2227,106.0
2024-07-30,Environmental Wellness,15543690,Img_Eco-Friendly_Living_Tips,Digital,B2C,North,7071.5478,56968.4629,2038,2052,100.0
2024-12-12,Spiritual Wellness,15543672,Vc_Inner_Peace_Journey,TV,B2B,East,29454.1803,34035.6172,109,112,5.3
2024-05-11,Environmental Wellness,15543690,Img_Eco-Friendly_Living_Tips,Digital,B2C,East,95041.458,1440.2448,2544,2785,112.0
2024-03-29,Mental Wellness,15543645,Vc_Mind_Matters,TV,B2C,East,73500.2711,61775.1266,126,135,5.2
2024-11-25,Environmental Wellness,15543690,Audio_Nature_First,Radio,B2C,South,75584.392,103393.7952,492,529,18.0
2024-04-27,Mental Wellness,15543645,Vc_Calm_Mind_Happy_Life,Social,B2C,East,13535.1896,67747.8645,1539,1559,60.0
2024-09-02,Weight Management,15543636,Img_Nutrition_&_Fitness_Tips,Print,B2B,East,57910.7218,119527.6887,357,377,17.4
2024-01-07,Environmental Wellness,15543690,Vc_Go_Green_Live_Clean,TV,B2C,East,38944.6591,81968.5825,107,111,4.5
2024-12-22,Weight Management,15543636,Img_Nutrition_&_Fitness_Tips,Print,B2B,East,73444.5974,19430.4212,369,396,12.6
2024-10-01,Environmental Wellness,15543690,Img_Green_Lifestyle_Magazine,Print,B2C,North,15792.8624,28867.8409,325,330,13.2
2024-03-17,Spiritual Wellness,15543672,Vc_Daily_Mindfulness_Quotes,Social,B2B,East,28263.9329,14405.2845,1576,1620,72.0
2024-05-12,Mental Wellness,15543645,Audio_Peaceful_Mindset,Radio,B2C,West,89867.4202,115213.71,511,556,18.0
2024-06-26,Weight Management,15543636,Audio_Balanced_Lifestyle,Radio,B2B,East,17060.9837,103184.8133,451,458,18.0
2024-04-11,Weight Management,15543636,Img_Healthy_Eating_Plan,Digital,B2B,West,63277.9599,29887.1614,2536,2696,94.0
2024-09-05,Mental Wellness,15543645,Audio_Peaceful_Mindset,Radio,B2C,West,31583.6727,88668.5237,434,447,22.0
2024-09-30,Social Wellness,15543612,Vc_Friendship_Matters,Social,B2C,South,8280.3401,45568.1463,1501,1513,70.5
2024-02-16,Environmental Wellness,15543690,Img_Green_Lifestyle_Magazine,Print,B2C,South,22445.8709,39579.7213,313,320,13.2
2024-03-22,Environmental Wellness,15543690,Vc_Go_Green_Live_Clean,TV,B2C,North,86953.9921,141597.1533,119,129,4.3
2024-06-16,Spiritual Wellness,15543672,Vc_Inner_Peace_Journey,TV,B2B,East,91063.9028,50431.7139,134,146,5.2
2024-04-08,Social Wellness,15543612,Audio_Social_Harmony_Talks,Radio,B2C,East,42041.376,80039.2933,485,505,16.8
2024-04-27,Social Wellness,15543612,Img_Building_Connections_Hub,Digital,B2C,West,62128.0035,93459.8118,2339,2484,120.0
2024-04-29,Spiritual Wellness,15543672,Vc_Inner_Peace_Journey,TV,B2B,East,52097.7599,97468.0643,120,126,5.2
2024-09-19,Weight Management,15543636,Img_Healthy_Eating_Plan,Digital,B2B,West,28041.4359,98302.4289,2192,2253,68.0
2024-05-24,Mental Wellness,15543645,Vc_Mind_Matters,TV,B2C,South,34545.0523,66449.0154,108,111,4.5
2024-09-05,Weight Management,15543636,Img_Healthy_Eating_Plan,Digital,B2B,North,52729.3669,76424.4054,2228,2345,98.0
2024-05-17,Physical Wellness,15543678,Img_Boost_Your_Body_Challenge,Digital,B2C,South,69566.6684,95888.3986,2460,2631,82.0
2024-12-22,Spiritual Wellness,15543672,Img_Spiritual_Awakening_Booklet,Print,B2B,East,35050.6316,17598.0687,336,347,13.5
2024-08-08,Mental Wellness,15543645,Vc_Calm_Mind_Happy_Life,Social,B2C,West,69921.596,27106.9265,1852,1981,78.0
2024-10-10,Weight Management,15543636,Vc_Smart_Weight_Loss,TV,B2B,South,96101.9836,113191.7485,124,135,6.2
2024-12-03,Weight Management,15543636,Audio_Balanced_Lifestyle,Radio,B2B,East,2553.2601,13756.4427,409,410,19.6
2024-04-16,Social Wellness,15543612,Vc_Friendship_Matters,Social,B2C,West,16467.3192,74549.0921,1575,1600,72.0
2024-06-29,Spiritual Wellness,15543672,Img_Spiritual_Awakening_Booklet,Print,B2B,East,91635.4937,4867.6384,388,423,14.1
2024-05-21,Physical Wellness,15543678,Img_Healthy_Habits_Guide,Print,B2C,East,7249.814,35046.9885,312,314,10.8
2024-07-12,Environmental Wellness,15543690,Img_Green_Lifestyle_Magazine,Print,B2C,North,76528.1705,91611.3153,358,385,13.8
2024-12-03,Spiritual Wellness,15543672,Audio_Soulful_Reflections,Radio,B2B,South,62435.4274,92771.8773,488,518,19.6
2024-12-20,Physical Wellness,15543678,Vc_Get_Fit_Stay_Strong,TV,B2C,East,4865.3203,64582.435,101,101,5.1
2024-09-20,Physical Wellness,15543678,Vc_Get_Fit_Stay_Strong,TV,B2C,East,172.6738,44247.9842,100,100,5.6
2024-03-01,Spiritual Wellness,15543672,Img_Find_Your_Purpose_Webinar,Digital,B2B,North,50249.7143,31959.0023,2359,2477,100.0
2024-12-07,Mental Wellness,15543645,Img_Stress-Free_Living_Course,Digital,B2C,North,11822.808,64996.1765,2023,2046,124.0
2024-01-27,Spiritual Wellness,15543672,Img_Find_Your_Purpose_Webinar,Digital,B2B,West,87234.3344,26682.3168,2518,2737,100.0
2024-08-01,Weight Management,15543636,Audio_Balanced_Lifestyle,Radio,B2B,East,48129.3884,7593.4912,477,499,16.8
2024-11-28,Social Wellness,15543612,Vc_Friendship_Matters,Social,B2C,East,23520.9517,2300.367,1702,1742,91.5
2024-09-19,Weight Management,15543636,Vc_Smart_Weight_Loss,TV,B2B,East,16903.6677,29115.5163,108,109,5.7
2024-08-28,Physical Wellness,15543678,Img_Boost_Your_Body_Challenge,Digital,B2C,East,83593.6845,4386.6749,2421,2623,106.0
2024-05-12,Physical Wellness,15543678,Audio_Power_Up_Your_Health,Radio,B2C,North,71902.0021,33982.2393,499,534,22.0
2024-04-18,Environmental Wellness,15543690,Audio_Nature_First,Radio,B2C,South,71824.481,39430.3333,472,505,23.6
2024-03-20,Physical Wellness,15543678,Img_Boost_Your_Body_Challenge,Digital,B2C,North,8622.1441,36048.693,2016,2033,98.0
2024-08-08,Environmental Wellness,15543690,Img_Green_Lifestyle_Magazine,Print,B2C,West,62489.3282,93678.0747,357,379,18.0
2024-10-15,Physical Wellness,15543678,Img_Healthy_Habits_Guide,Print,B2C,North,86961.3101,63399.9006,382,415,16.8
2024-06-21,Physical Wellness,15543678,Img_Healthy_Habits_Guide,Print,B2C,South,76613.4728,136275.7913,347,373,15.0
2024-01-08,Spiritual Wellness,15543672,Img_Find_Your_Purpose_Webinar,Digital,B2B,East,11903.8529,100379.8617,2085,2109,100.0
2024-07-04,Spiritual Wellness,15543672,Audio_Soulful_Reflections,Radio,B2B,West,94933.009,144746.5953,528,578,21.2
2024-04-15,Social Wellness,15543612,Audio_Social_Harmony_Talks,Radio,B2C,West,7066.4638,42740.316,403,405,16.4
2024-02-14,Weight Management,15543636,Vc_Smart_Weight_Loss,TV,B2B,East,55734.7411,5774.2843,117,123,5.6
2024-12-18,Mental Wellness,15543645,Img_Mental_Clarity_Journal,Print,B2C,South,94506.732,126702.2975,392,429,15.0
2024-07-03,Social Wellness,15543612,Img_Building_Connections_Hub,Digital,B2C,North,82243.4472,61451.6633,2441,2641,98.0
2024-03-08,Physical Wellness,15543678,Vc_Get_Fit_Stay_Strong,TV,B2C,East,68114.8166,86000.5614,121,129,4.6
2024-07-06,Social Wellness,15543612,Audio_Social_Harmony_Talks,Radio,B2C,South,85648.7321,120484.3412,488,529,20.4
2024-02-09,Spiritual Wellness,15543672,Vc_Inner_Peace_Journey,TV,B2B,South,67360.8034,81237.4627,126,134,4.7
2024-10-04,Weight Management,15543636,Img_Nutrition_&_Fitness_Tips,Print,B2B,South,5589.3866,75776.7516,306,307,15.0
2024-08-28,Physical Wellness,15543678,Vc_Move_More_Live_More,Social,B2C,East,35152.1073,29335.1726,1542,1596,55.5
2024-03-30,Physical Wellness,15543678,Img_Healthy_Habits_Guide,Print,B2C,South,42769.5406,23774.3981,331,345,18.3
2024-09-03,Social Wellness,15543612,Img_Community_Well-Being_Guide,Print,B2C,West,54683.0884,70765.4766,353,372,12.9
2024-04-23,Weight Management,15543636,Img_Healthy_Eating_Plan,Digital,B2B,West,23041.0799,71184.4391,2155,2204,104.0
2024-07-30,Environmental Wellness,15543690,Vc_Sustainable_Life_Hacks,Social,B2C,North,88129.1247,125611.3087,1955,2127,84.0
2024-05-20,Mental Wellness,15543645,Vc_Calm_Mind_Happy_Life,Social,B2C,North,22947.1962,91584.1716,1662,1700,78.0
2024-01-06,Weight Management,15543636,Vc_Weight_Goals_Tracker,Social,B2B,South,65793.6071,131443.433,1824,1944,73.5
2024-06-03,Social Wellness,15543612,Audio_Social_Harmony_Talks,Radio,B2C,South,87673.0827,139001.7691,488,530,20.8
2024-03-18,Social Wellness,15543612,Vc_Stronger_Together,TV,B2C,South,73308.0245,85256.5617,118,126,5.0
2024-06-02,Mental Wellness,15543645,Audio_Peaceful_Mindset,Radio,B2C,North,13687.6619,53845.8376,427,432,21.2
2024-06-17,Physical Wellness,15543678,Vc_Move_More_Live_More,Social,B2C,West,95144.2791,112284.9944,1926,2109,85.5
2024-02-19,Physical Wellness,15543678,Img_Boost_Your_Body_Challenge,Digital,B2C,West,9282.4664,27427.6403,2076,2095,98.0
2024-04-14,Environmental Wellness,15543690,Img_Green_Lifestyle_Magazine,Print,B2C,East,20086.7172,38847.9156,306,312,15.9
2024-08-08,Social Wellness,15543612,Img_Community_Well-Being_Guide,Print,B2C,North,14010.3851,82111.375,295,299,15.3
2024-03-13,Mental Wellness,15543645,Audio_Peaceful_Mindset,Radio,B2C,South,66725.0138,126697.1477,477,508,21.6
2024-01-30,Social Wellness,15543612,Audio_Social_Harmony_Talks,Radio,B2C,West,80760.2665,125705.0549,494,533,18.8
2024-09-16,Spiritual Wellness,15543672,Img_Find_Your_Purpose_Webinar,Digital,B2B,East,23877.7846,8259.3375,2220,2273,116.0
2024-01-22,Social Wellness,15543612,Img_Community_Well-Being_Guide,Print,B2C,West,97926.9241,34661.5022,391,429,10.8
2024-08-02,Social Wellness,15543612,Audio_Social_Harmony_Talks,Radio,B2C,East,14010.4549,29322.0644,424,429,22.4
2024-09-22,Spiritual Wellness,15543672,Vc_Inner_Peace_Journey,TV,B2B,South,31655.2646,44455.3139,108,111,5.4
2024-12-22,Spiritual Wellness,15543672,Audio_Soulful_Reflections,Radio,B2B,South,49081.8924,8923.9867,464,486,20.4
2024-06-30,Mental Wellness,15543645,Audio_Peaceful_Mindset,Radio,B2C,West,80903.8742,32535.9908,496,536,25.6
2024-09-08,Physical Wellness,15543678,Vc_Move_More_Live_More,Social,B2C,North,37716.5989,85153.2644,1668,1730,73.5
2024-07-11,Environmental Wellness,15543690,Vc_Go_Green_Live_Clean,TV,B2C,West,18071.6453,26736.3253,98,99,4.8
2024-08-30,Spiritual Wellness,15543672,Vc_Inner_Peace_Journey,TV,B2B,North,46547.1321,116197.5724,106,110,5.2
2024-02-28,Physical Wellness,15543678,Img_Boost_Your_Body_Challenge,Digital,B2C,West,47701.8794,52464.6061,2309,2419,102.0
2024-08-13,Mental Wellness,15543645,Vc_Calm_Mind_Happy_Life,Social,B2C,North,1718.8996,10145.0558,1503,1505,72.0
2024-09-20,Weight Management,15543636,Vc_Smart_Weight_Loss,TV,B2B,South,2186.7505,85204.4978,99,99,4.9
2024-01-09,Social Wellness,15543612,Vc_Friendship_Matters,Social,B2C,East,27836.1161,104301.7155,1566,1609,67.5
2024-02-03,Mental Wellness,15543645,Vc_Calm_Mind_Happy_Life,Social,B2C,North,74147.96,127230.0115,1837,1973,52.5
2024-03-08,Mental Wellness,15543645,Img_Mental_Clarity_Journal,Print,B2C,South,36662.4308,58507.1252,324,335,12.3
2024-07-05,Spiritual Wellness,15543672,Vc_Inner_Peace_Journey,TV,B2B,East,21199.3182,101816.99,108,110,5.0
2024-11-25,Environmental Wellness,15543690,Img_Green_Lifestyle_Magazine,Print,B2C,South,11386.1662,74987.1108,295,298,18.0
2024-09-01,Spiritual Wellness,15543672,Audio_Soulful_Reflections,Radio,B2B,South,28124.1706,22404.0895,427,439,19.6
2024-10-07,Social Wellness,15543612,Audio_Social_Harmony_Talks,Radio,B2C,South,48195.7781,66225.9836,453,474,20.4
2024-03-25,Spiritual Wellness,15543672,Img_Spiritual_Awakening_Booklet,Print,B2B,North,9428.6092,45384.3026,324,327,13.5
2024-05-04,Social Wellness,15543612,Audio_Social_Harmony_Talks,Radio,B2C,South,1591.9001,45519.688,408,408,22.0
2024-05-22,Spiritual Wellness,15543672,Img_Spiritual_Awakening_Booklet,Print,B2B,South,12817.9735,44044.355,308,311,12.3
2024-07-17,Weight Management,15543636,Img_Healthy_Eating_Plan,Digital,B2B,South,73824.1548,24110.0686,2457,2638,98.0
2024-11-15,Environmental Wellness,15543690,Vc_Sustainable_Life_Hacks,Social,B2C,North,46684.3428,48182.7238,1648,1724,61.5
2024-08-31,Weight Management,15543636,Img_Healthy_Eating_Plan,Digital,B2B,West,44572.2078,62670.3269,2247,2347,108.0
2024-01-21,Physical Wellness,15543678,Vc_Get_Fit_Stay_Strong,TV,B2C,South,2073.2872,28935.7461,101,101,4.4
2024-01-18,Environmental Wellness,15543690,Img_Eco-Friendly_Living_Tips,Digital,B2C,West,71123.3536,24085.7598,2373,2541,108.0
2024-10-11,Spiritual Wellness,15543672,Img_Find_Your_Purpose_Webinar,Digital,B2B,South,20270.698,21921.0287,2055,2096,122.0
2024-05-19,Mental Wellness,15543645,Audio_Peaceful_Mindset,Radio,B2C,North,9177.4644,20266.9261,422,425,19.2
2024-04-03,Physical Wellness,15543678,Img_Healthy_Habits_Guide,Print,B2C,West,84219.0872,63566.1095,375,406,16.8
2024-12-07,Mental Wellness,15543645,Vc_Mind_Matters,TV,B2C,South,48612.2348,26088.1784,117,122,5.0
2024-05-26,Weight Management,15543636,Audio_Balanced_Lifestyle,Radio,B2B,West,74918.4148,98642.0606,476,511,23.2
2024-03-07,Environmental Wellness,15543690,Vc_Go_Green_Live_Clean,TV,B2C,East,82206.3011,47451.8749,119,128,5.4
2024-11-30,Physical Wellness,15543678,Vc_Move_More_Live_More,Social,B2C,West,96465.2358,139256.379,1908,2092,72.0
2024-02-07,Weight Management,15543636,Img_Nutrition_&_Fitness_Tips,Print,B2B,South,62407.5799,8353.2823,366,388,14.7
2024-01-14,Spiritual Wellness,15543672,Audio_Soulful_Reflections,Radio,B2B,West,6920.9756,32139.2492,403,405,20.0
2024-07-22,Mental Wellness,15543645,Img_Stress-Free_Living_Course,Digital,B2C,South,55813.0517,94473.3021,2318,2447,102.0
2024-08-17,Spiritual Wellness,15543672,Vc_Daily_Mindfulness_Quotes,Social,B2B,West,51001.3116,85980.3227,1715,1802,84.0
2024-09-17,Social Wellness,15543612,Img_Building_Connections_Hub,Digital,B2C,West,5850.6234,43353.3333,2045,2056,98.0
2024-01-16,Physical Wellness,15543678,Vc_Get_Fit_Stay_Strong,TV,B2C,North,30699.5758,100392.094,102,105,4.7
2024-05-15,Mental Wellness,15543645,Vc_Calm_Mind_Happy_Life,Social,B2C,North,41276.5822,8722.229,1741,1812,76.5
2024-05-21,Environmental Wellness,15543690,Audio_Nature_First,Radio,B2C,West,16181.4355,55081.8342,433,440,18.0
2024-03-27,Environmental Wellness,15543690,Img_Eco-Friendly_Living_Tips,Digital,B2C,North,975.2882,20219.4595,1983,1984,128.0
2024-07-03,Environmental Wellness,15543690,Img_Eco-Friendly_Living_Tips,Digital,B2C,North,75722.1259,51638.5466,2589,2785,72.0
2024-06-06,Weight Management,15543636,Vc_Smart_Weight_Loss,TV,B2B,East,85178.2777,99721.578,124,134,5.3
2024-02-27,Environmental Wellness,15543690,Vc_Go_Green_Live_Clean,TV,B2C,South,22987.255,11135.243,105,107,5.9
2024-10-13,Mental Wellness,15543645,Img_Mental_Clarity_Journal,Print,B2C,South,479.6538,4483.5165,294,294,17.4
2024-09-15,Weight Management,15543636,Img_Nutrition_&_Fitness_Tips,Print,B2B,East,89004.701,60894.6527,394,429,14.1
2024-08-02,Social Wellness,15543612,Vc_Stronger_Together,TV,B2C,West,13482.6022,29049.6693,104,105,5.0
2024-07-04,Environmental Wellness,15543690,Img_Green_Lifestyle_Magazine,Print,B2C,North,40382.618,86633.8334,323,336,16.8
2024-01-12,Environmental Wellness,15543690,Img_Eco-Friendly_Living_Tips,Digital,B2C,South,36660.0281,7867.1762,2224,2305,108.0
2024-08-26,Weight Management,15543636,Vc_Smart_Weight_Loss,TV,B2B,East,16509.7139,104632.5339,107,108,5.2
2024-03-02,Environmental Wellness,15543690,Vc_Sustainable_Life_Hacks,Social,B2C,South,59921.1751,80722.6061,1704,1806,72.0
2024-09-02,Social Wellness,15543612,Vc_Stronger_Together,TV,B2C,West,91862.3548,73223.0755,121,132,5.9
